f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,handedness,label
0.48593467,0.7849283,3.5991434e-07,0.55974656,0.70780516,-0.04402645,0.61007035,0.57051647,-0.058053613,0.6361956,0.4539323,-0.06845318,0.665353,0.3683298,-0.07946157,0.5318066,0.39022863,-0.043036364,0.55156004,0.23332058,-0.06799914,0.56248885,0.13892168,-0.087634325,0.5689075,0.04999429,-0.10491222,0.47579122,0.38235608,-0.04269383,0.46223414,0.2166763,-0.06741691,0.45606285,0.11543314,-0.09050588,0.4480181,0.02496481,-0.10938861,0.4290597,0.42263973,-0.047173943,0.40044773,0.27810717,-0.076078214,0.38608932,0.18015271,-0.09995622,0.3741883,0.08374107,-0.11819429,0.3902809,0.49712205,-0.055588074,0.352966,0.40909752,-0.08761902,0.33062214,0.34237552,-0.10716603,0.31256598,0.27026096,-0.12082818,Right,Arm_Drone
0.4220494,0.8044683,3.198977e-07,0.5109892,0.81122494,-0.03900798,0.593818,0.7363539,-0.0551171,0.6513348,0.664658,-0.06808826,0.7016505,0.6141479,-0.08384273,0.56881636,0.54029024,-0.058745112,0.6237901,0.41397256,-0.09110201,0.65855914,0.33194908,-0.11498922,0.68857867,0.25678974,-0.13467677,0.5232604,0.49636915,-0.06424531,0.55443275,0.335873,-0.09768007,0.574778,0.23262304,-0.12585513,0.5919049,0.13869894,-0.14818825,0.46948034,0.49744356,-0.07272631,0.48481822,0.34124297,-0.11030622,0.49473986,0.2419436,-0.13681225,0.5051545,0.14991674,-0.15524335,0.41325545,0.53513485,-0.08365869,0.4074548,0.41645634,-0.121052854,0.40656644,0.33632463,-0.14067687,0.40897352,0.2591614,-0.15376367,Right,Arm_Drone
0.51404804,0.8805207,2.0912259e-07,0.5769774,0.78644013,-0.049481068,0.6091751,0.6426551,-0.0676675,0.6096464,0.5218996,-0.081961,0.614233,0.4280525,-0.096642345,0.5108207,0.4833003,-0.050451353,0.49223986,0.32376763,-0.07874867,0.4805903,0.23195006,-0.10068749,0.466873,0.14534897,-0.119080886,0.45231003,0.497607,-0.048459172,0.40881848,0.3393163,-0.076530434,0.38063756,0.24096587,-0.101569936,0.35281295,0.15378821,-0.12182821,0.4099825,0.5513062,-0.051558476,0.3550899,0.41985053,-0.0820671,0.3224027,0.33662635,-0.10610969,0.29320115,0.25654125,-0.124230824,0.37968457,0.63427377,-0.059284054,0.32530913,0.5568133,-0.091496095,0.28896677,0.5068493,-0.11104357,0.2566864,0.45218378,-0.124684855,Right,Arm_Drone
0.5227243,0.78732944,2.5647995e-07,0.5643351,0.65748036,-0.048532102,0.56080675,0.49501276,-0.062593326,0.53771585,0.37069222,-0.07204792,0.5194216,0.27317318,-0.082065925,0.44113442,0.4043898,-0.042824592,0.39420706,0.2640071,-0.06686412,0.36252195,0.18394022,-0.08765931,0.33091056,0.11148408,-0.10593332,0.38981867,0.4514361,-0.040129084,0.31775016,0.3267188,-0.06415335,0.27102244,0.24857777,-0.08942031,0.22662744,0.18488841,-0.11008398,0.36082998,0.52777576,-0.042801164,0.2828306,0.43645635,-0.07125556,0.23450243,0.37149486,-0.097967066,0.1901006,0.31051195,-0.11784583,0.3495146,0.6242879,-0.049826868,0.28114405,0.5862031,-0.08221012,0.2355468,0.5569217,-0.10388797,0.19439761,0.5209263,-0.118777834,Right,Arm_Drone
0.48955256,0.8097922,2.4720646e-07,0.55570847,0.7278693,-0.051302753,0.5939115,0.5881715,-0.07080665,0.598433,0.4614221,-0.08560065,0.6093708,0.36539292,-0.101071656,0.50620645,0.40959015,-0.05723937,0.4956254,0.24211116,-0.0883909,0.4856152,0.14165321,-0.11114476,0.47294617,0.04925847,-0.1300169,0.4457709,0.4139326,-0.055823337,0.4048323,0.24142802,-0.0870792,0.37822247,0.13647573,-0.11331332,0.35227215,0.044480413,-0.1333408,0.40010706,0.46321827,-0.05921604,0.34723607,0.32166436,-0.09341202,0.31699166,0.22958939,-0.118959524,0.2903021,0.14151612,-0.13721052,0.36562055,0.5462367,-0.066957586,0.30998343,0.4682973,-0.10343047,0.27362826,0.41444626,-0.12424876,0.24222359,0.35513955,-0.13762835,Right,Arm_Drone
0.42669848,0.8465314,2.3229983e-07,0.5124425,0.81427026,-0.04931076,0.5828907,0.7126568,-0.0700217,0.62752455,0.6253337,-0.086953804,0.66868794,0.5577998,-0.105744116,0.535535,0.4857226,-0.060633138,0.56604165,0.32209337,-0.09300032,0.5791323,0.22350368,-0.11796248,0.59002674,0.13123655,-0.13890664,0.47849286,0.45670122,-0.062825926,0.47919723,0.26472557,-0.0955882,0.47713587,0.14838523,-0.12571473,0.47407377,0.0454655,-0.14977224,0.4234314,0.4797637,-0.06941908,0.4067658,0.30376187,-0.10724104,0.39753112,0.19236091,-0.13828212,0.38986552,0.091183156,-0.16059764,0.37382507,0.54134333,-0.07966986,0.340375,0.42430833,-0.11890745,0.31822786,0.34571874,-0.14244974,0.30123654,0.26757658,-0.15849876,Right,Arm_Drone
0.4585268,0.8371655,4.569923e-07,0.54724824,0.7813562,-0.037267715,0.6081111,0.6588698,-0.039229043,0.6433756,0.5466396,-0.038521063,0.6698004,0.45712465,-0.037162296,0.55929595,0.46332288,-0.0013054777,0.5895632,0.32707497,-0.008654179,0.60318416,0.24424599,-0.020879645,0.61249596,0.16975093,-0.03299882,0.5098755,0.43550473,0.002151886,0.5176842,0.27421936,-0.0030982585,0.523989,0.17707428,-0.02006848,0.52592075,0.09505907,-0.035099477,0.4607082,0.45002067,-0.0010301822,0.45513293,0.2998212,-0.014832276,0.45720404,0.21242929,-0.035915375,0.4610441,0.12968838,-0.051913854,0.4121027,0.4973452,-0.00836451,0.39757717,0.39279372,-0.027536968,0.39374977,0.32644665,-0.043044824,0.3961319,0.25972503,-0.054279964,Right,Arm_Drone
0.48356175,0.74956435,2.088958e-07,0.5627109,0.68848956,-0.050567392,0.6248649,0.5642312,-0.07417815,0.6534513,0.45402908,-0.093564026,0.6885067,0.36874634,-0.11528488,0.5520981,0.3863883,-0.07025353,0.5660625,0.22711277,-0.108265646,0.572845,0.12994853,-0.1353214,0.5770166,0.039786786,-0.1571024,0.49230587,0.37815884,-0.07256871,0.48145354,0.19793628,-0.111252755,0.47230703,0.09270887,-0.14239275,0.46305776,-0.0042898655,-0.16697489,0.44087744,0.41790527,-0.078810036,0.41164306,0.25162536,-0.120612316,0.3923183,0.14547862,-0.14900792,0.37689295,0.045327395,-0.16972542,0.39617303,0.48882928,-0.08862296,0.35872704,0.3814145,-0.12897816,0.33637944,0.30838177,-0.15104423,0.31825033,0.23046145,-0.1667453,Right,Arm_Drone
0.5176003,0.7299776,1.0450106e-07,0.59702474,0.7036942,-0.04685336,0.67106265,0.6218809,-0.07513055,0.7226623,0.55202866,-0.098017454,0.77477175,0.4979465,-0.12513371,0.6143568,0.51643455,-0.102161184,0.6424548,0.38467458,-0.14397648,0.65625584,0.2978214,-0.1715833,0.6687883,0.21807015,-0.19356558,0.5574749,0.5235183,-0.10676266,0.5469164,0.38624144,-0.15256472,0.5410156,0.29599723,-0.18269335,0.5365327,0.20663427,-0.20843972,0.5027066,0.55969864,-0.11178284,0.46974364,0.43560815,-0.16049853,0.4479217,0.3548156,-0.18482792,0.42966807,0.27093112,-0.20337267,0.4532587,0.6118989,-0.11893728,0.41277683,0.53701246,-0.16169561,0.38452372,0.49966484,-0.17765579,0.35755306,0.45732966,-0.19012426,Right,Arm_Drone
0.50359434,0.84971946,2.6213979e-08,0.5969874,0.79521656,-0.042296562,0.6542109,0.66931295,-0.065844685,0.66269046,0.53992,-0.08677496,0.67631507,0.42708343,-0.11068423,0.5993911,0.4742618,-0.05773875,0.59574556,0.30249333,-0.102427706,0.58611435,0.19682848,-0.13841973,0.5753146,0.100041926,-0.16451907,0.5458183,0.4758702,-0.06477638,0.5410807,0.27812797,-0.104323864,0.53319603,0.1560596,-0.13947245,0.5278643,0.04395637,-0.16833484,0.49631843,0.5131683,-0.07655587,0.48879048,0.32805783,-0.116804846,0.48009914,0.20623982,-0.1457757,0.4744552,0.096511126,-0.16727778,0.44720092,0.57509667,-0.0914576,0.43852884,0.4352559,-0.12883523,0.43677,0.34448737,-0.14983374,0.4372582,0.2550116,-0.16567494,Right,Arm_Drone
